 Mason Plumlee	POR	50 	28.0 	4.4 	8.3 	53.1 	 	0.0 	0.1 	0.0 	 	2.2 	4.1 	55.2 	 	2.1 	5.8 	8.0 	 	4.1 	1.6 	1.0 	1.2 	2.7 	11.1 	 
 Maurice Harkless	POR	46 	29.6 	4.5 	9.2 	48.7 	 	1.1 	3.2 	33.8 	 	1.0 	1.4 	68.8 	 	1.6 	3.1 	4.7 	 	1.0 	1.2 	1.2 	0.9 	2.8 	11.0 	 
 Cody Zeller	CHA	38 	26.9 	4.2 	7.2 	59.0 	 	0.0 	0.0 	N/A 	 	2.4 	3.5 	68.9 	 	2.3 	4.2 	6.6 	 	1.4 	1.2 	0.7 	1.1 	3.2 	10.9 	 
 Justise Winslow	MIA	18 	34.7 	4.4 	12.6 	35.4 	 	0.4 	1.9 	20.0 	 	1.6 	2.6 	61.7 	 	1.3 	3.9 	5.2 	 	3.7 	1.8 	1.4 	0.3 	2.9 	10.9 	 
 Jon Leuer	DET	43 	26.4 	4.2 	8.4 	50.6 	 	0.8 	2.4 	32.4 	 	1.3 	1.5 	88.9 	 	1.4 	4.4 	5.8 	 	1.8 	0.8 	0.5 	0.4 	2.0 	10.6 	 
 Gorgui Dieng	MIN	49 	32.0 	4.4 	8.4 	52.6 	 	0.1 	0.4 	33.3 	 	1.5 	2.0 	77.3 	 	2.3 	5.3 	7.6 	 	2.0 	1.4 	1.0 	1.2 	3.3 	10.5 	 
 Draymond Green	GS	47 	33.1 	3.7 	8.5 	43.9 	 	1.1 	3.4 	31.3 	 	1.9 	2.8 	66.9 	 	1.5 	6.9 	8.4 	 	7.4 	2.3 	1.9 	1.5 	3.0 	10.4 	 
 Frank Kaminsky	CHA	48 	24.1 	3.8 	9.6 	39.3 	 	1.3 	4.1 	30.2 	 	1.4 	1.8 	76.7 	 	0.8 	3.5 	4.3 	 	2.0 	1.0 	0.7 	0.4 	1.5 	10.2 	 
 Kenneth Faried	DEN	44 	22.7 	3.8 	6.7 	56.4 	 	0.0 	0.1 	0.0 	 	2.4 	3.4 	70.9 	 	3.1 	5.0 	8.1 	 	0.9 	1.0 	0.8 	0.8 	2.2 	10.0 	 
 Doug McDermott	CHI	37 	24.8 	3.7 	8.4 	44.1 	 	1.2 	3.4 	36.8 	 	1.4 	1.5 	90.9 	 	0.4 	2.9 	3.2 	 	1.1 	0.8 	0.3 	0.1 	1.2 	10.0 	 
 Marreese Speights	LAC	49 	16.7 	3.3 	7.3 	45.4 	 	1.4 	3.5 	40.4 	 	2.0 	2.3 	87.4 	 	1.2 	3.6 	4.8 	 	0.8 	0.7 	0.3 	0.5 	3.0 	10.0 	 
 Trevor Booker	BKN	44 	26.4 	4.2 	8.0 	52.3 	 	0.3 	1.1 	28.0 	 	1.2 	1.7 	67.1 	 	2.1 	6.5 	8.6 	 	2.2 	1.8 	1.3 	0.5 	2.2 	9.9 	 
 Dario Saric	PHI	48 	23.7 	3.5 	9.2 	38.4 	 	1.2 	3.6 	33.1 	 	1.6 	2.0 	77.3 	 	1.3 	4.5 	5.8 	 	1.7 	1.9 	0.5 	0.3 	1.6 	9.9 	 
 DeMarre Carroll	TOR	45 	26.6 	3.3 	8.2 	40.2 	 	1.6 	4.8 	34.1 	 	1.3 	1.7 	78.7 	 	0.9 	2.9 	3.8 	 	0.9 	0.7 	1.2 	0.4 	2.0 	9.6 	 
 Montrezl Harrell	HOU	42 	19.4 	4.1 	6.2 	65.6 	 	0.0 	0.1 	33.3 	 	1.3 	2.1 	62.9 	 	1.5 	2.4 	3.9 	 	1.2 	0.9 	0.4 	0.8 	2.0 	9.5 	 
 Derrick Favors	UTA	33 	23.3 	3.8 	8.3 	45.5 	 	0.1 	0.2 	33.3 	 	1.6 	2.6 	63.5 	 	1.6 	4.4 	6.0 	 	1.0 	1.3 	0.8 	0.9 	2.2 	9.3 	 
 Channing Frye	CLE	41 	18.6 	3.2 	7.2 	44.1 	 	2.0 	4.6 	42.1 	 	0.9 	1.0 	85.7 	 	0.6 	2.9 	3.5 	 	0.6 	0.7 	0.4 	0.5 	1.9 	9.2 	 
 Michael Kidd-Gilchrist	CHA	49 	29.5 	3.6 	7.9 	45.2 	 	0.0 	0.2 	12.5 	 	2.0 	2.7 	76.2 	 	2.0 	5.4 	7.4 	 	1.3 	0.8 	0.8 	1.0 	2.2 	9.1 	 
 Nikola Mirotic	CHI	44 	22.7 	3.1 	8.1 	38.5 	 	1.4 	4.8 	29.9 	 	1.4 	1.8 	76.9 	 	0.8 	4.5 	5.3 	 	0.8 	1.1 	0.7 	0.8 	1.8 	9.0 	 
 JaMychal Green	MEM	49 	29.1 	3.2 	6.9 	46.9 	 	0.8 	2.0 	37.8 	 	1.7 	2.2 	77.1 	 	2.2 	5.2 	7.4 	 	1.2 	1.1 	0.8 	0.6 	3.5 	8.9 	 
 Michael Beasley	MIL	40 	16.4 	3.5 	6.9 	51.1 	 	0.4 	0.8 	45.2 	 	1.4 	1.9 	74.7 	 	0.7 	2.9 	3.6 	 	1.0 	1.3 	0.5 	0.5 	1.7 	8.8 	 
 Al Jefferson	IND	48 	14.9 	3.8 	7.5 	50.1 	 	0.0 	0.0 	0.0 	 	1.2 	1.5 	78.9 	 	1.2 	3.0 	4.2 	 	0.9 	0.5 	0.3 	0.3 	1.9 	8.7 	 
 Nerlens Noel	PHI	22 	17.7 	3.5 	5.8 	60.6 	 	0.0 	0.0 	N/A 	 	1.4 	1.9 	71.4 	 	1.5 	3.1 	4.7 	 	1.0 	0.9 	1.2 	1.0 	2.3 	8.4 	 
 Nene Hilario	HOU	44 	17.1 	3.2 	5.2 	61.6 	 	0.1 	0.1 	50.0 	 	1.8 	3.0 	58.8 	 	1.2 	2.5 	3.7 	 	0.9 	1.2 	0.8 	0.6 	2.4 	8.2 	 
 Luol Deng	LAL	47 	27.3 	3.1 	7.9 	39.4 	 	1.0 	3.0 	32.1 	 	0.8 	1.1 	68.5 	 	1.2 	4.4 	5.6 	 	1.5 	0.8 	0.9 	0.4 	1.1 	8.0 	 
 Trey Lyles	UTA	50 	19.3 	2.8 	7.3 	39.1 	 	1.1 	3.4 	33.1 	 	0.9 	1.3 	71.2 	 	0.8 	3.0 	3.8 	 	1.2 	1.1 	0.5 	0.3 	1.5 	7.8 	 
 Mike Muscala	ATL	43 	20.3 	2.9 	5.7 	51.0 	 	0.8 	1.8 	45.5 	 	0.8 	1.0 	77.3 	 	1.3 	2.4 	3.7 	 	1.4 	0.9 	0.5 	0.6 	1.7 	7.5 	 
 Tristan Thompson	CLE	48 	29.2 	3.0 	5.3 	56.9 	 	0.0 	0.1 	0.0 	 	1.5 	3.0 	50.3 	 	3.6 	6.1 	9.7 	 	0.8 	0.8 	0.6 	1.3 	2.4 	7.5 	 
 Patrick Patterson	TOR	39 	27.8 	2.5 	6.6 	38.7 	 	1.6 	4.4 	36.5 	 	0.7 	1.1 	65.9 	 	1.2 	4.3 	5.5 	 	1.5 	0.7 	0.8 	0.4 	2.2 	7.4 	 
 Alex Len	PHO	47 	19.9 	2.8 	5.5 	50.0 	 	0.0 	0.1 	0.0 	 	1.9 	2.6 	72.7 	 	1.9 	4.6 	6.5 	 	0.6 	1.2 	0.4 	1.3 	3.0 	7.4 	 
 Marquese Chriss	PHO	49 	18.3 	2.8 	6.7 	42.6 	 	0.7 	2.3 	31.3 	 	1.0 	1.6 	62.0 	 	1.1 	2.3 	3.4 	 	0.6 	1.2 	0.8 	0.5 	3.0 	7.4 	 
 Sam Dekker	HOU	52 	19.8 	3.0 	6.3 	47.5 	 	0.9 	2.7 	32.4 	 	0.6 	1.0 	58.8 	 	1.4 	2.6 	4.1 	 	1.1 	0.7 	0.6 	0.3 	1.2 	7.4 	 
 Spencer Hawes	CHA	35 	17.9 	3.0 	6.2 	47.7 	 	0.5 	1.6 	29.1 	 	0.9 	1.0 	88.2 	 	0.9 	3.3 	4.2 	 	1.8 	1.1 	0.4 	0.7 	1.7 	7.3 	 
 Jared Dudley	PHO	33 	21.6 	2.6 	5.4 	48.9 	 	1.3 	3.1 	43.1 	 	0.7 	1.1 	62.2 	 	0.5 	2.8 	3.3 	 	1.6 	1.2 	0.7 	0.2 	2.5 	7.3 	 
 Al-Farouq Aminu	POR	32 	28.4 	2.7 	7.5 	35.4 	 	0.9 	3.3 	26.2 	 	1.2 	1.6 	71.2 	 	1.1 	6.0 	7.1 	 	2.2 	1.5 	1.0 	0.7 	1.8 	7.3 	 
 David Lee	SA	47 	18.6 	3.1 	5.3 	59.5 	 	0.0 	0.0 	N/A 	 	1.0 	1.4 	73.4 	 	1.7 	3.7 	5.4 	 	1.6 	0.9 	0.4 	0.4 	1.5 	7.3 	 
 Dwight Powell	DAL	49 	19.1 	2.8 	5.2 	53.3 	 	0.1 	0.5 	21.7 	 	1.6 	2.0 	78.4 	 	1.5 	3.2 	4.6 	 	0.8 	0.4 	1.0 	0.6 	2.0 	7.2 	 
 Justin Hamilton	BKN	43 	19.8 	2.8 	6.1 	45.5 	 	1.0 	3.1 	31.1 	 	0.5 	0.6 	74.1 	 	1.2 	3.3 	4.5 	 	0.8 	0.7 	0.5 	0.7 	1.5 	7.0 	 
 Josh Huestis	OKC	1 	6.9 	3.0 	4.0 	75.0 	 	1.0 	2.0 	50.0 	 	0.0 	0.0 	N/A 	 	2.0 	2.0 	4.0 	 	1.0 	0.0 	0.0 	1.0 	0.0 	7.0 	 
 Justin Anderson	DAL	45 	14.7 	2.3 	5.8 	40.5 	 	0.8 	2.5 	31.6 	 	1.5 	1.9 	79.8 	 	0.8 	2.3 	3.1 	 	0.6 	0.8 	0.6 	0.4 	1.3 	7.0 	 
 Darrell Arthur	DEN	24 	15.5 	2.6 	5.3 	49.2 	 	1.5 	2.8 	52.2 	 	0.4 	0.4 	90.0 	 	0.7 	2.1 	2.8 	 	1.0 	1.0 	0.3 	0.5 	2.2 	7.0 	 
 Anthony Tolliver	SAC	37 	22.0 	2.3 	5.0 	45.2 	 	1.4 	3.4 	40.0 	 	1.1 	1.3 	83.0 	 	0.9 	2.6 	3.5 	 	0.9 	0.7 	0.5 	0.2 	1.7 	6.9 	 
 Mirza Teletovic	MIL	39 	16.7 	2.4 	6.2 	38.0 	 	1.6 	4.6 	34.8 	 	0.5 	0.7 	75.0 	 	0.2 	2.3 	2.5 	 	0.7 	0.7 	0.2 	0.2 	1.7 	6.9 	 
 John Henson	MIL	42 	19.8 	2.6 	5.3 	49.8 	 	0.0 	0.0 	0.0 	 	1.5 	2.1 	71.3 	 	1.5 	3.7 	5.2 	 	1.2 	1.0 	0.5 	1.3 	2.5 	6.8 	 
 Richaun Holmes	PHI	26 	15.7 	2.8 	5.5 	52.1 	 	0.3 	0.8 	36.4 	 	0.8 	1.3 	66.7 	 	1.3 	2.7 	4.1 	 	0.8 	0.9 	0.6 	0.8 	2.0 	6.8 	 
 Larry Nance Jr.	LAL	32 	21.7 	2.9 	5.1 	57.4 	 	0.1 	0.4 	16.7 	 	0.6 	0.8 	70.4 	 	1.6 	3.6 	5.2 	 	1.3 	0.8 	1.0 	0.8 	2.3 	6.5 	 
 Kelly Oubre Jr.	WAS	46 	20.4 	2.4 	5.5 	42.7 	 	0.8 	2.5 	31.6 	 	0.9 	1.2 	77.8 	 	0.7 	2.8 	3.5 	 	0.7 	0.7 	0.8 	0.2 	2.5 	6.5 	 
 Chandler Parsons	MEM	22 	18.5 	2.4 	6.7 	35.4 	 	0.7 	2.9 	25.4 	 	1.0 	1.1 	88.0 	 	0.1 	2.0 	2.1 	 	1.5 	0.5 	0.6 	0.1 	1.3 	6.5 	 
 Luc Richard Mbah a Moute	LAC	47 	23.0 	2.4 	5.0 	49.4 	 	0.6 	1.5 	40.3 	 	1.0 	1.4 	71.9 	 	0.8 	1.7 	2.5 	 	0.4 	0.7 	1.1 	0.6 	1.7 	6.5 	 
 Kosta Koufos	SAC	49 	19.2 	2.9 	4.8 	59.5 	 	0.0 	0.0 	0.0 	 	0.5 	1.0 	54.2 	 	1.7 	3.8 	5.4 	 	0.5 	0.9 	0.6 	0.6 	2.3 	6.3 	 
 Amir Johnson	BOS	48 	19.8 	2.5 	4.6 	55.2 	 	0.3 	0.8 	37.8 	 	0.9 	1.3 	68.3 	 	1.6 	2.9 	4.5 	 	1.8 	0.9 	0.5 	0.7 	2.7 	6.3 	 
 Domantas Sabonis	OKC	50 	21.7 	2.6 	6.1 	41.8 	 	0.8 	2.3 	34.5 	 	0.4 	0.5 	66.7 	 	0.5 	3.2 	3.7 	 	1.1 	1.1 	0.6 	0.4 	2.5 	6.3 	 
 Jerami Grant	OKC	49 	21.5 	2.1 	4.6 	47.1 	 	0.6 	1.5 	38.4 	 	1.2 	2.0 	61.6 	 	0.3 	2.3 	2.7 	 	0.5 	0.6 	0.4 	1.1 	2.0 	6.1 	 
 Bismack Biyombo	ORL	50 	24.0 	2.3 	4.4 	52.7 	 	0.0 	0.0 	N/A 	 	1.4 	3.1 	46.8 	 	1.9 	5.5 	7.4 	 	1.0 	1.2 	0.3 	1.2 	2.4 	6.1 	 
 Derrick Williams	MIA	24 	15.4 	2.2 	5.6 	39.3 	 	0.4 	1.8 	20.5 	 	1.3 	2.1 	62.0 	 	0.7 	2.3 	3.0 	 	0.6 	0.5 	0.4 	0.2 	1.3 	6.1 	 
 Kyle O'Quinn	NY	49 	14.9 	2.7 	5.2 	52.6 	 	0.0 	0.2 	12.5 	 	0.6 	0.8 	70.0 	 	2.1 	3.6 	5.7 	 	1.2 	0.9 	0.4 	1.3 	2.1 	6.0 	 
 Mindaugas Kuzminskas	NY	44 	14.3 	2.3 	5.2 	43.0 	 	0.8 	2.5 	33.6 	 	0.7 	0.9 	79.5 	 	0.7 	1.2 	1.9 	 	1.0 	0.8 	0.5 	0.2 	1.2 	6.0 	 
 Nemanja Bjelica	MIN	47 	17.1 	2.1 	5.2 	41.0 	 	0.8 	2.9 	29.1 	 	0.8 	1.0 	76.6 	 	0.6 	2.5 	3.1 	 	1.0 	0.9 	0.6 	0.2 	2.2 	5.9 	 
 Dante Cunningham	NO	37 	24.8 	2.4 	5.5 	42.4 	 	1.1 	2.9 	37.0 	 	0.2 	0.3 	54.5 	 	0.8 	3.3 	4.1 	 	0.6 	0.5 	0.5 	0.5 	1.6 	5.9 	 
 Omri Casspi	SAC	22 	18.0 	2.4 	5.3 	45.3 	 	0.5 	1.3 	37.9 	 	0.5 	1.0 	57.1 	 	0.9 	3.2 	4.1 	 	1.2 	0.8 	0.5 	0.0 	1.0 	5.9 	 
 Tarik Black	LAL	39 	15.8 	2.2 	4.3 	51.2 	 	0.0 	0.0 	0.0 	 	1.4 	1.8 	75.0 	 	2.2 	3.0 	5.2 	 	0.6 	0.7 	0.4 	0.5 	2.6 	5.8 	 
 Brandon Bass	LAC	33 	12.1 	2.2 	3.7 	59.8 	 	0.0 	0.1 	50.0 	 	1.4 	1.5 	90.0 	 	0.8 	1.7 	2.5 	 	0.6 	0.7 	0.2 	0.2 	0.9 	5.8 	 
 Meyers Leonard	POR	44 	15.9 	2.0 	5.5 	36.1 	 	1.1 	3.1 	34.3 	 	0.6 	0.6 	96.2 	 	0.4 	2.8 	3.1 	 	0.8 	0.5 	0.1 	0.4 	2.2 	5.6 	 
 Willie Reed	MIA	41 	14.9 	2.4 	4.0 	60.0 	 	0.0 	0.0 	0.0 	 	0.8 	1.4 	56.1 	 	1.8 	3.1 	4.9 	 	0.4 	0.4 	0.2 	0.8 	1.7 	5.6 	 
 Donatas Motiejunas	NO	13 	15.9 	2.2 	4.2 	50.9 	 	0.6 	1.5 	40.0 	 	0.7 	1.5 	47.4 	 	0.8 	2.5 	3.3 	 	1.4 	1.1 	0.6 	0.5 	2.0 	5.6 	 
 Luis Scola	BKN	34 	12.8 	2.1 	4.3 	48.6 	 	0.5 	1.4 	36.2 	 	0.7 	1.0 	68.6 	 	1.4 	2.4 	3.9 	 	1.0 	1.0 	0.4 	0.1 	1.7 	5.4 	 
 Lucas Nogueira	TOR	41 	21.2 	2.2 	3.2 	68.5 	 	0.1 	0.2 	37.5 	 	0.9 	1.4 	66.1 	 	1.9 	3.1 	5.0 	 	0.8 	0.8 	1.0 	1.9 	2.7 	5.3 	 
 Jaylen Brown	BOS	48 	14.5 	2.0 	4.7 	42.7 	 	0.4 	1.2 	29.3 	 	1.0 	1.4 	71.2 	 	0.5 	1.8 	2.3 	 	0.6 	0.7 	0.4 	0.3 	1.6 	5.3 	 
